"racer_number","racer_name","racer_name_kana","branch","grade","period_year","period_half"
"2538","高橋二朗","ｼﾞﾛｳ","京","B1","2025","前期"
"2878","富山弘幸","ﾋﾛﾕｷ","阪","B1","2025","前期"
"3024","西島義則","ﾏ ﾖｼﾉﾘ","島","B1","2025","前期"
"3054","北川幸典","ﾜ ﾕｷﾉﾘ","島","B1","2025","前期"
"3070","山室展弘","ﾉﾌﾞﾋﾛ","山","B1","2025","前期"
"3072","西田靖","ﾔｽｼ","京","B1","2025","前期"
"3075","中村裕将","ﾋﾛﾉﾌﾞ","玉","B1","2025","前期"
"3081","岡本慎治","ｼﾝｼﾞ","口","B1","2025","前期"
"3105","内山文典","ﾌﾐﾉﾘ","京","B1","2025","前期"
"3107","平岡重典","ｼｹﾞﾉﾘ","阪","B1","2025","前期"
"3156","金子良昭","ﾖｼｱｷ","岡","B1","2025","前期"
"3158","島川光男","ﾐﾂｵ","島","B1","2025","前期"
"3159","江口晃生","ｱｷｵ","馬","B1","2025","前期"
"3161","古場輝義","ﾃﾙﾖｼ","阪","B1","2025","前期"
"3175","渡辺千草","ﾞ ﾁｸﾞｻ","京","B1","2025","前期"
"3176","長谷川巌","ﾜ ｲﾜｵ","口","B1","2025","前期"
"3188","日高逸子","ｲﾂｺ","岡","B1","2025","前期"
"3202","三品隆浩","ﾀｶﾋﾛ","京","B1","2025","前期"
"3207","田村美和","ﾐﾜ","京","B1","2025","前期"
"3211","北川敏弘","ﾜ ﾄｼﾋﾛ","賀","B1","2025","前期"
"3212","亀本勇樹","ﾕｳｷ","島","B1","2025","前期"
"3224","栗山繁洋","ｼｹﾞﾋﾛ","賀","B1","2025","前期"
"3226","浦田信義","ﾉﾌﾞﾖｼ","京","B1","2025","前期"
"3232","山川美由紀","ﾐﾕｷ","川","B1","2025","前期"
"3233","小畑実成","ﾐﾅﾘ","山","B1","2025","前期"
"3246","星野政彦","ﾏｻﾋｺ","庫","B1","2025","前期"
"3251","平石和男","ｶｽﾞｵ","玉","B1","2025","前期"
"3256","三角哲男","ﾃﾂｵ","京","B1","2025","前期"
"3257","田頭実","ﾐﾉﾙ","岡","B1","2025","前期"
"3265","今村暢孝","ﾉﾌﾞﾀｶ","岡","B1","2025","前期"
"3268","森竜也","ﾂﾔ","重","B1","2025","前期"
"3273","石田豪","ﾂﾖｼ","島","B1","2025","前期"
"3277","齋藤勇","ｲｻﾑ","京","B1","2025","前期"
"3282","池本輝明","ﾃﾙｱｷ","島","B1","2025","前期"
"3284","渡邊伸太郎","ﾞ ｼﾝﾀﾛｳ","賀","B1","2025","前期"
"3286","坂東満","ﾞｳ ﾐﾂﾙ","岡","B1","2025","前期"
"3289","高橋淳美","ｱﾂﾐ","阪","B1","2025","前期"
"3293","宮内由紀英","ﾕｷﾋﾃﾞ","京","B1","2025","前期"
"3294","野中義生","ﾖｼｵ","岡","B1","2025","前期"
"3297","藤丸光一","ﾙ ｺｳｲﾁ","岡","B1","2025","前期"
"3300","川崎智幸","ﾄﾓﾕｷ","山","B1","2025","前期"
"3302","谷川里江","ﾘｴ","知","B1","2025","前期"
"3303","渡辺豊","ﾞ ﾕﾀｶ","京","B1","2025","前期"
"3304","烏野賢太","ﾝﾀ","島","B1","2025","前期"
"3305","小野信樹","ﾌﾞｷ","山","B1","2025","前期"
"3306","武田正紀","ﾏｻﾉﾘ","玉","B1","2025","前期"
"3313","本吉正樹","ﾏｻｼﾞ","京","B1","2025","前期"
"3315","広瀬聖仁","ﾏｻﾋﾄ","知","B1","2025","前期"
"3319","山崎義明","ｷ ﾖｼｱｷ","玉","B1","2025","前期"
"3327","野長瀬正孝","ｾ ﾏｻﾀｶ","岡","B1","2025","前期"
"3333","丸尾義孝","ﾖｼﾀｶ","島","B1","2025","前期"
"3334","角ひとみ","ﾄﾐ","島","B1","2025","前期"
"3339","泉具巳","ﾄﾓﾐ","庫","B1","2025","前期"
"3340","池田雷太","ﾗｲﾀ","京","B1","2025","前期"
"3346","宮本裕之","ﾋﾛﾕｷ","庫","B1","2025","前期"
"3349","吉田一郎","ｲﾁﾛｳ","崎","B1","2025","前期"
"3350","藤本佳史","ﾄ ﾖｼﾌﾐ","口","B1","2025","前期"
"3352","小川晃司","ｺｳｼﾞ","岡","B1","2025","前期"
"3353","前田光昭","ﾐﾂｱｷ","玉","B1","2025","前期"
"3355","橋谷田佳織","ﾞ ｶｵﾘ","京","B1","2025","前期"
"3357","福島陽子","ﾖｵｺ","山","B1","2025","前期"
"3361","岡部浩","ﾋﾛｼ","島","B1","2025","前期"
"3362","間嶋仁志","ﾋﾄｼ","重","B1","2025","前期"
"3370","坪内実","ﾁ ﾐﾉﾙ","阪","B1","2025","前期"
"3372","加藤雅之","ﾏｻﾕｷ","島","B1","2025","前期"
"3377","塚田修二","ｼｭｳｼﾞ","京","B1","2025","前期"
"3381","滝沢芳行","ﾜ ﾖｼﾕｷ","玉","B1","2025","前期"
"3385","渡邉睦広","ﾞ ﾉﾌﾞﾋﾛ","京","B1","2025","前期"
"3388","今垣光太郎","ｷ ｺｳﾀﾛｳ","井","B1","2025","前期"
"3391","鈴木茂正","ｼｹﾞﾏｻ","京","B1","2025","前期"
"3392","小森信雄","ﾉﾌﾞｵ","重","B1","2025","前期"
"3401","上田隆章","ﾀｶｱｷ","川","B1","2025","前期"
"3406","中里英夫","ﾄ ﾋﾃﾞｵ","馬","B1","2025","前期"
"3411","池上隆行","ﾐ ﾀｶﾕｷ","島","B1","2025","前期"
"3412","鈴木博","ﾋﾛｼ","玉","B1","2025","前期"
"3414","加瀬智宏","ﾓﾋﾛ","馬","B1","2025","前期"
"3415","松井繁","ｼｹﾞﾙ","阪","B1","2025","前期"
"3419","栗原謙治","ｹﾝｼﾞ","馬","B1","2025","前期"
"3422","服部幸男","ﾕｷｵ","岡","B1","2025","前期"
"3430","角浜修","ｵｻﾑ","島","B1","2025","前期"
"3432","宮迫暢彦","ﾉﾌﾞﾋｺ","阪","B1","2025","前期"
"3434","松尾宣邦","ﾉﾌﾞｸﾆ","岡","B1","2025","前期"
"3435","寺田千恵","ﾁｴ","山","B1","2025","前期"
"3436","柏野幸二","ｺｳｼﾞ","山","B1","2025","前期"
"3439","大平誉史明","ﾖｼｱｷ","阪","B1","2025","前期"
"3441","土屋太朗","ﾀﾛｳ","馬","B1","2025","前期"
"3442","宮武英司","ｴｲｼﾞ","川","B1","2025","前期"
"3444","香月大介","ﾀﾞｲｽｹ","岡","B1","2025","前期"
"3445","加藤高史","ﾀｶｼ","玉","B1","2025","前期"
"3448","高山秀雄","ﾋﾃﾞｵ","馬","B1","2025","前期"
"3454","井川大作","ﾀﾞｲｻｸ","山","B1","2025","前期"
"3455","谷本幸司","ｺｳｼﾞ","知","B1","2025","前期"
"3458","東健介","ｹﾝｽｹ","山","B1","2025","前期"
"3459","中野和裕","ｶｽﾞﾋﾛ","賀","B1","2025","前期"
"3461","渡邊哲也","ﾞ ﾃﾂﾔ","岡","B1","2025","前期"
"3462","竹上真司","ｼﾝｼﾞ","山","B1","2025","前期"
"3463","乙津康志","ｽｼ","京","B1","2025","前期"
"3467","森弘行","ﾛﾕｷ","京","B1","2025","前期"
"3470","新田芳美","ﾖｼﾐ","島","B1","2025","前期"
"3471","赤峰和也","ｶｽﾞﾔ","賀","B1","2025","前期"
"3473","石川真二","ｼﾝｼﾞ","岡","B1","2025","前期"
"3474","松瀬弘美","ﾋﾛﾐ","岡","B1","2025","前期"
"3475","橋本久和","ﾋｻｶｽﾞ","馬","B1","2025","前期"
"3477","近藤稔也","ｳ ﾄｼﾔ","島","B1","2025","前期"
"3478","嶋田貴支","ﾀｶｼ","川","B1","2025","前期"
"3482","金子猛志","ﾀｹｼ","馬","B1","2025","前期"
"3484","芝田浩治","ｺｳｼﾞ","庫","B1","2025","前期"
"3489","大場敏","ｻﾄｼ","岡","B1","2025","前期"
"3497","後藤浩","ﾋﾛｼ","玉","B1","2025","前期"
"3499","市川哲也","ﾃﾂﾔ","島","B1","2025","前期"
